index,sales
272371,168.30566564431342
558468,126.34803773345313
76950,6757.309198860881
77556,6797.925127518368
456344,6106.435566976588
436466,5188.298590490274
646251,3989.803608626749
650464,10020.066978321003
162710,229.2206480760898
100327,6551.779285491067
374540,8104.194951187817
399143,4463.126738284236
44740,14.947721772307267
674144,8503.180473516079
81595,6878.861839347898
416724,5438.9113344773305
632687,12343.15955302155
351899,5147.635385076544
515940,4578.987469877203
567411,8223.723022878225
274598,-19.83935005123931
417880,12908.181474900668
453710,6810.891489517482
597622,115.74598489900265
223346,8861.842495533381
630018,-46.01617193108861
355860,5843.724050152761
360080,4019.8292379823506
129544,10890.010796985844
422545,-8.759906270175216
174199,6187.055017590424
118613,38.36716913517182
60310,9059.476055810142
328458,7231.380234523737
200661,5380.196042783657
179581,5902.16155750363
587612,48.255007906516255
320169,7356.045304691791
37194,5713.4629156607525
685427,4947.305384284098
125422,10937.187754316868
24499,3745.1483862907944
281806,5796.432148228814
540511,4620.284831337795
28689,3835.8330772867057
165066,7812.0262772340975
555963,5381.8600274053
610614,7947.468430590176
64013,8343.653903158734
30639,9893.022324189687
418604,7852.867487344068
468037,6183.830347782165
271589,5074.661044675685
77924,3219.1850518737724
247149,4979.429392744381
576822,5428.205698781619
108538,4760.181086127604
645670,4929.040440484322
601663,3850.554896982938
502588,7134.137576911664
66732,5190.8499546735575
627113,7585.571777402732
691184,6933.697884777765
467913,10252.581279252267
304890,5725.003817802978
274018,5959.239114154008
644430,7663.868528404654
669009,5293.420444857983
518722,6871.285812031272
505976,5571.401042515428
291572,5187.325328645551
39071,3992.239916063911
319154,4568.44269639934
166603,3633.3012857950407
428262,7617.5039907554155
20314,4749.4998605390665
603091,4017.9362941558593
500421,6898.77120529635
388016,30.039927407296066
268257,7812.040593056026
216326,6203.658343369994
40755,3356.309057818196
8654,6011.38574387015
37301,7771.150378537927
485623,10537.700238766975
214073,9182.566739293112
406145,2948.4070879278106
397642,4301.320379929399
273960,9647.99426806553
12104,3199.093154599268
361202,4403.19117874824
79347,6243.848696571072
462803,6930.285228191715
141713,5603.036655934612
703618,5162.967715426703
308360,7698.341916893657
317995,8726.1935239712
364408,5973.728524633252
27886,8800.244222285859
706814,-42.070430400989636
514516,3287.270688324894
577373,12380.253053461138
190561,7231.566823574429
92512,10482.377464895339
565163,7775.46244769735
500246,5961.957586079457
223708,3213.9100839413636
555732,6394.18620318485
654150,4195.146681271016
558350,3795.864818171055
52167,6979.121015132582
296981,5337.1920276563515
332143,6809.041309906643
426553,5529.8186239447405
481847,5349.510049509323
100496,8011.646007421224
706377,6606.568589389388
599169,6694.10453635442
55294,5235.570565900357
218737,5239.376504452556
266706,7218.452765006752
441953,8285.768392231279
127184,5702.367742529195
312223,9085.39173207595
583377,8709.850783178697
523743,7693.500445395834
476775,104.62509851011659
620142,6775.6299533609845
460092,3750.7387989026074
169260,5184.173280118217
177084,4988.282770157989
645354,7475.475138129618
645737,10347.376912258773
272578,5972.223884655197
600374,12386.709493385733
566038,6062.370684018659
381862,-193.52074372349026
535335,7163.3803336643705
499411,8696.973216346276
625219,4628.520771030327
61823,64.18315596387978
653471,4919.25074245103
441789,7700.867793376326
155435,8834.44285499702
226567,7142.7996737361445
107330,4647.159251794214
149417,5404.4523267984805
191690,5970.186720968568
146544,46.54769996316829
383603,7890.173901554243
452941,6540.138101322571
629103,7155.215263782657
30258,7081.325466785749
219501,5335.020214430919
528607,9695.680299298632
397525,4324.842855384241
314281,4929.577731517445
489418,8334.575819767104
182776,-8.759906270175216
335928,12371.292326384357
198358,9080.89899270843
400219,123.80568927261216
427476,8542.587578475086
31892,12663.12436995514
109374,5525.034624436503
385320,4680.86024315714
517169,5701.051382632878
369733,8371.667251304449
71343,6929.805822074584
42363,8172.447741490779
612665,2816.6069115474384
428563,7592.248859559529
610249,7979.627845925948
669222,7981.861020044854
484348,11937.773977648654
194089,12977.30001528712
328888,7653.312481536709
485880,5025.274378003399
